,recency,frequency,monetary,monetary,count
,mean,mean,mean,sum,count
segment,,,,,
about to sleep,501.0,1.0,2125.89375,340143,160
at risk,829.85,1.0,4503.5125,360281,80
hibernating,703.1341463414634,1.0,3061.0975609756097,251010,82
lost,824.1806722689075,1.0,1602.4495798319329,381383,238
need attention,498.5,1.0,4510.625,180425,40
new customers,102.40277777777777,1.0,938.3333333333334,67560,72
potential loyalists,195.23673469387754,1.0,3535.7877551020406,866268,245
promising,301.13253012048193,1.0,1087.55421686747,90267,83
